,ORG Name,ORG Link,Size,Sector,Country,Region,Report
223,Diamond Bank Plc,https://database.globalreporting.org/organizations/16954/,Large,Financial Services,ng,Africa,"['2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54990/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54989/']"
224,Digicore Holdings Ltd,https://database.globalreporting.org/organizations/4614/,Large,Technology Hardware,za,Africa,"['2014 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/23415/', '2013 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/17512/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/14795/', '2011 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/11975/']"
225,Dipula Income Fund,https://database.globalreporting.org/organizations/6499/,Large,Real Estate,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/75474/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/74004/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/57912/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/46733/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/34604/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/23847/', '2013 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/20796/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17517/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17515/']"
226,Dis-Chem Pharmacies,https://database.globalreporting.org/organizations/18389/,Large,Healthcare Services,za,Africa,['2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61178/']
227,Discovery,https://database.globalreporting.org/organizations/1207/,Large,Financial Services,za,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60850/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/57909/', '2016 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/42790/', '2015 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/32649/', '2014 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/24583/', '2013 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/19259/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/20797/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/19012/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9161/', '2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9910/', '2009 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/3902/', '2008 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/2704/']"
228,Distell Group,https://database.globalreporting.org/organizations/4613/,Large,Food and Beverage Products,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/75888/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60781/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61473/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/42784/', '2015 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/34605/', '2014 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/23580/', '2013 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/19260/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/14794/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/11974/']"
229,DOLPHIN PAPER (U) LTD.,https://database.globalreporting.org/organizations/22139/,SME,Forest and Paper Products,ug,Africa,['2020 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/76062/']
230,Dorbyl Limited,https://database.globalreporting.org/organizations/6502/,SME,Metals Products,za,Africa,"['2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17521/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17520/']"
231,DRDGold Limited,https://database.globalreporting.org/organizations/1211/,Large,Mining,za,Africa,"['2019 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/77134/', '2018 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/60863/', '2017 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/53379/', '2016 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/46784/', '2015 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/32610/', '2014 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/22484/', '2013 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/17522/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/14971/', '2011 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/8789/', '2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9862/', '2009 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/3913/', '2008 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/2713/']"
232,E90,https://database.globalreporting.org/organizations/18237/,SME,Agriculture,gh,Africa,['2018 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/60141/']
